Unique Alberta fish species: 94
Unique fish locations: 5,746

Species	Unique locations
Arapaima gigas	1
Carassius auratus	8
Carassius gibelio	105
Carpiodes cyprinus	5
Catostomus catostomus	352
Catostomus commersonii	389
Catostomus macrocheilus	8
Chrosomus eos	56
Chrosomus neogaeus	47
Conger myriaster	1
Coregonus artedi	26
Coregonus clupeaformis	45
Coregonus nasus	1
Coregonus sardinella	1
Coregonus zenithicus	1
Cottus asper	1
Cottus cognatus	61
Cottus confusus	2
Cottus ricei	130
Couesius plumbeus	359
Ctenopharyngodon idella	13
Culaea inconstans	452
Esox lucius	342
Etheostoma exile	61
Gadus macrocephalus	2
Gadus morhua	1
Gambusia affinis	63
Gasterosteus aculeatus	5
Hiodon alosoides	72
Hiodon tergisus	28
Hippoglossus stenolepis	1
Hybognathus argyritis	7
Hybognathus hankinsoni	13
Hybopsis amblops	1
Ictalurus punctatus	1
Kyphosus lutescens	1
Larimichthys polyactis	1
Lethenteron camtschaticum	2
Lota lota	178
Margariscus margarita	71
Margariscus nachtriebi	4
Micropogonias furnieri	1
Micropterus dolomieu	1
Misgurnus anguillicaudatus	1
Moxostoma anisurum	7
Moxostoma macrolepidotum	35
Mylocheilus caurinus	1
Nemipterus tambuloides	1
Notropis atherinoides	54
Notropis blennius	28
Notropis hudsonius	100
Noturus flavus	10
Oncorhynchus aguabonita	4
Oncorhynchus apache	5
Oncorhynchus clarkii	59
Oncorhynchus hybridus	4
Oncorhynchus keta	1
Oncorhynchus kisutch	6
Oncorhynchus mykiss	288
Oncorhynchus nerka	9
Oncorhynchus virginalis	3
Oreochromis niloticus	1
Pantosteus jordani	6
Pantosteus platyrhynchus	40
Perca flavescens	150
Perca fluviatilis	5
Percina caprodes	5
Percopsis omiscomaycus	154
Pimephales promelas	330
Platygobio gracilis	86
Poecilia latipinna	52
Pomoxis nigromaculatus	1
Prosopium coulterii	3
Prosopium cylindraceum	2
Prosopium williamsoni	196
Pterois volitans	1
Ptychocheilus oregonensis	5
Pungitius pungitius	47
Rastrelliger kanagurta	1
Rhinichthys cataractae	250
Richardsonius balteatus	30
Rubricatochromis bimaculatus	2
Salmo salar	5
Salmo trutta	133
Salmo trutta × Salvelinus fontinalis	11
Salvelinus alpinus	3
Salvelinus confluentus	127
Salvelinus fontinalis	218
Salvelinus malma	11
Salvelinus namaycush	24
Sander canadensis	20
Sander vitreus	179
Thunnus thynnus	2
Thymallus arcticus	110
